"","id","degree","group","label","origin","direction","shape","study","tissue","cell"
"Esr1","Esr1",2,"no data","Esr1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Clock","Clock",1,"no data","Clock","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Rora","Rora",2,"no data","Rora","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Nr3c1","Nr3c1",5,"no data","Nr3c1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Cblb","Cblb",2,"no data","Cblb","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Plcb1","Plcb1",5,"no data","Plcb1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Mapk14","Mapk14",7,"no data","Mapk14","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Gsk3b","Gsk3b",4,"no data","Gsk3b","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Mtor","Mtor",1,"no data","Mtor","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Insr","Insr",9,"int","Insr","Insr","vis_net_I","square","Exercise2","Aorta","Adipo"
"Cbl","Cbl",4,"no data","Cbl","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Erbb4","Erbb4",5,"no data","Erbb4","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Pik3r1","Pik3r1",20,"no data","Pik3r1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Pik3cb","Pik3cb",8,"no data","Pik3cb","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"NICHE","NICHE",22,"no data","NICHE","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Zbtb20","Zbtb20",1,"downregulated","Zbtb20","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Jazf1","Jazf1",2,"upregulated","Jazf1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Nr1d2","Nr1d2",2,"downregulated","Nr1d2","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Sox5","Sox5",1,"downregulated","Sox5","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Mef2a","Mef2a",2,"no data","Mef2a","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nfkb1","Nfkb1",3,"no data","Nfkb1","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mitf","Mitf",3,"no data","Mitf","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Stat5b","Stat5b",1,"no data","Stat5b","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nr3c110","Nr3c1",3,"no data","Nr3c1","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Lyn","Lyn",4,"no data","Lyn","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mapk1412","Mapk14",9,"int","Mapk14","Mapk14","vis_net_A","square","Exercise2","Aorta","Mcr"
"App","App",6,"no data","App","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"NICHE15","NICHE",14,"no data","NICHE","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Hivep2","Hivep2",1,"upregulated","Hivep2","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zfp395","Zfp395",1,"upregulated","Zfp395","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Bnc2","Bnc2",2,"upregulated","Bnc2","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zhx3","Zhx3",1,"upregulated","Zhx3","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mef2a1","Mef2a",2,"no data","Mef2a","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nfkb11","Nfkb1",3,"no data","Nfkb1","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mitf1","Mitf",3,"no data","Mitf","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Stat5b1","Stat5b",1,"no data","Stat5b","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nr3c11","Nr3c1",3,"no data","Nr3c1","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Lyn1","Lyn",4,"no data","Lyn","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mapk141","Mapk14",9,"no data","Mapk14","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"App1","App",6,"int","App","App","vis_net_A","square","Exercise2","Aorta","Mcr"
"NICHE1","NICHE",14,"no data","NICHE","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Hivep21","Hivep2",1,"upregulated","Hivep2","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zfp3951","Zfp395",1,"upregulated","Zfp395","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Bnc21","Bnc2",2,"upregulated","Bnc2","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zhx31","Zhx3",1,"upregulated","Zhx3","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mef2a2","Mef2a",2,"no data","Mef2a","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nfkb12","Nfkb1",3,"no data","Nfkb1","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mitf2","Mitf",3,"no data","Mitf","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Stat5b2","Stat5b",1,"no data","Stat5b","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nr3c12","Nr3c1",3,"no data","Nr3c1","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Lyn2","Lyn",4,"no data","Lyn","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mapk142","Mapk14",9,"no data","Mapk14","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Gng2","Gng2",2,"no data","Gng2","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Lrp6","Lrp6",3,"int","Lrp6","Lrp6","vis_net_A","square","Exercise2","Aorta","Mcr"
"NICHE2","NICHE",14,"no data","NICHE","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Hivep22","Hivep2",1,"upregulated","Hivep2","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zfp3952","Zfp395",1,"upregulated","Zfp395","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Bnc22","Bnc2",2,"upregulated","Bnc2","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zhx32","Zhx3",1,"upregulated","Zhx3","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Ets1","Ets1",1,"no data","Ets1","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Runx1","Runx1",2,"no data","Runx1","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Ptprc","Ptprc",3,"no data","Ptprc","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Grb2","Grb2",10,"int","Grb2","Grb2","vis_net_A","square","Exercise2","Aorta","Tcell"
"Ptk2b","Ptk2b",6,"no data","Ptk2b","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Prkcq","Prkcq",12,"no data","Prkcq","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Prkch","Prkch",5,"no data","Prkch","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Gsk3b13","Gsk3b",1,"no data","Gsk3b","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Kmt2a","Kmt2a",3,"no data","Kmt2a","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Ncoa2","Ncoa2",2,"no data","Ncoa2","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Ccnd3","Ccnd3",4,"no data","Ccnd3","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Jak1","Jak1",4,"no data","Jak1","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"NICHE16","NICHE",11,"no data","NICHE","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Tshz3","Tshz3",1,"upregulated","Tshz3","Grb2","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Ets11","Ets1",1,"no data","Ets1","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Runx11","Runx1",2,"no data","Runx1","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Ptprc1","Ptprc",3,"no data","Ptprc","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Ptk2b1","Ptk2b",6,"int","Ptk2b","Ptk2b","vis_net_A","square","Exercise2","Aorta","Tcell"
"Gsk3b1","Gsk3b",1,"no data","Gsk3b","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Kmt2a1","Kmt2a",3,"no data","Kmt2a","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Ncoa21","Ncoa2",2,"no data","Ncoa2","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Ccnd31","Ccnd3",4,"no data","Ccnd3","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Jak11","Jak1",4,"no data","Jak1","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"NICHE17","NICHE",11,"no data","NICHE","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Tshz31","Tshz3",1,"upregulated","Tshz3","Ptk2b","vis_net_A","circle","Exercise2","Aorta","Tcell"
"Jun","Jun",7,"no data","Jun","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Tcf4","Tcf4",1,"no data","Tcf4","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Jund","Jund",1,"no data","Jund","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Mapk3","Mapk3",18,"no data","Mapk3","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Ptprj","Ptprj",4,"no data","Ptprj","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Ctnnb1","Ctnnb1",9,"no data","Ctnnb1","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Notch1","Notch1",3,"no data","Notch1","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Cdh5","Cdh5",3,"int","Cdh5","Cdh5","vis_net_A","square","Exercise2","Artery","Adipo"
"NICHE18","NICHE",6,"no data","NICHE","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Zbtb2015","Zbtb20",1,"downregulated","Zbtb20","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Tsc22d2","Tsc22d2",1,"downregulated","Tsc22d2","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Trps1","Trps1",1,"downregulated","Trps1","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Sox57","Sox5",1,"downregulated","Sox5","Cdh5","vis_net_A","circle","Exercise2","Artery","Adipo"
"Jun1","Jun",7,"no data","Jun","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Tcf41","Tcf4",1,"no data","Tcf4","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Jund1","Jund",1,"no data","Jund","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Mapk31","Mapk3",18,"no data","Mapk3","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Ptprj1","Ptprj",4,"int","Ptprj","Ptprj","vis_net_A","square","Exercise2","Artery","Adipo"
"Ctnnb11","Ctnnb1",9,"no data","Ctnnb1","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Notch11","Notch1",3,"no data","Notch1","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"NICHE19","NICHE",6,"no data","NICHE","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Zbtb201","Zbtb20",1,"downregulated","Zbtb20","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Tsc22d21","Tsc22d2",1,"downregulated","Tsc22d2","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Trps11","Trps1",1,"downregulated","Trps1","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Sox51","Sox5",1,"downregulated","Sox5","Ptprj","vis_net_A","circle","Exercise2","Artery","Adipo"
"Jun2","Jun",7,"no data","Jun","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tcf42","Tcf4",1,"no data","Tcf4","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jund2","Jund",1,"no data","Jund","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Mapk32","Mapk3",18,"no data","Mapk3","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Ctnnb12","Ctnnb1",9,"no data","Ctnnb1","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Ptprb","Ptprb",2,"int","Ptprb","Ptprb","vis_net_I","square","Exercise2","Artery","Adipo"
"NICHE21","NICHE",6,"no data","NICHE","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Zbtb202","Zbtb20",1,"downregulated","Zbtb20","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tsc22d22","Tsc22d2",1,"downregulated","Tsc22d2","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Trps12","Trps1",1,"downregulated","Trps1","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Sox52","Sox5",1,"downregulated","Sox5","Ptprb","vis_net_I","circle","Exercise2","Artery","Adipo"
"Stat3","Stat3",1,"no data","Stat3","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jun3","Jun",7,"no data","Jun","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tcf43","Tcf4",1,"no data","Tcf4","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jund3","Jund",1,"no data","Jund","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Mapk33","Mapk3",18,"no data","Mapk3","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Rac1","Rac1",16,"no data","Rac1","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Ctnnb13","Ctnnb1",9,"no data","Ctnnb1","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Fn1","Fn1",3,"int","Fn1","Fn1","vis_net_I","square","Exercise2","Artery","Adipo"
"NICHE3","NICHE",6,"no data","NICHE","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Zbtb203","Zbtb20",1,"downregulated","Zbtb20","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tsc22d23","Tsc22d2",1,"downregulated","Tsc22d2","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Trps13","Trps1",1,"downregulated","Trps1","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Sox53","Sox5",1,"downregulated","Sox5","Fn1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Stat31","Stat3",1,"no data","Stat3","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jun4","Jun",7,"no data","Jun","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tcf44","Tcf4",1,"no data","Tcf4","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jund4","Jund",1,"no data","Jund","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Rhoa","Rhoa",15,"no data","Rhoa","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Mapk34","Mapk3",18,"no data","Mapk3","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Rac11","Rac1",16,"no data","Rac1","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Ctnnb14","Ctnnb1",9,"no data","Ctnnb1","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Itgb1","Itgb1",9,"no data","Itgb1","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Vwf","Vwf",2,"int","Vwf","Vwf","vis_net_I","square","Exercise2","Artery","Adipo"
"NICHE4","NICHE",6,"no data","NICHE","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Zbtb204","Zbtb20",1,"downregulated","Zbtb20","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tsc22d24","Tsc22d2",1,"downregulated","Tsc22d2","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Trps14","Trps1",1,"downregulated","Trps1","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Sox54","Sox5",1,"downregulated","Sox5","Vwf","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jun5","Jun",7,"no data","Jun","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tcf45","Tcf4",1,"no data","Tcf4","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jund5","Jund",1,"no data","Jund","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Mapk35","Mapk3",18,"no data","Mapk3","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Ctnnb15","Ctnnb1",9,"no data","Ctnnb1","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Notch12","Notch1",3,"no data","Notch1","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"App3","App",5,"int","App","App","vis_net_I","square","Exercise2","Artery","Adipo"
"NICHE5","NICHE",6,"no data","NICHE","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Zbtb205","Zbtb20",1,"downregulated","Zbtb20","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tsc22d25","Tsc22d2",1,"downregulated","Tsc22d2","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Trps15","Trps1",1,"downregulated","Trps1","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Sox55","Sox5",1,"downregulated","Sox5","App","vis_net_I","circle","Exercise2","Artery","Adipo"
"Stat32","Stat3",1,"no data","Stat3","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jun6","Jun",7,"no data","Jun","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tcf46","Tcf4",1,"no data","Tcf4","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jund6","Jund",1,"no data","Jund","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Rhoa1","Rhoa",15,"no data","Rhoa","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Mapk36","Mapk3",18,"no data","Mapk3","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Rac12","Rac1",16,"no data","Rac1","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Ctnnb16","Ctnnb1",9,"no data","Ctnnb1","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Itgb11","Itgb1",9,"int","Itgb1","Itgb1","vis_net_I","square","Exercise2","Artery","Adipo"
"NICHE6","NICHE",6,"no data","NICHE","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Zbtb206","Zbtb20",1,"downregulated","Zbtb20","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Tsc22d26","Tsc22d2",1,"downregulated","Tsc22d2","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Trps16","Trps1",1,"downregulated","Trps1","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Sox56","Sox5",1,"downregulated","Sox5","Itgb1","vis_net_I","circle","Exercise2","Artery","Adipo"
"Jun9","Jun",6,"no data","Jun","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Ets17","Ets1",1,"no data","Ets1","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Tcf410","Tcf4",1,"no data","Tcf4","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Jund7","Jund",1,"no data","Jund","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Mapk37","Mapk3",14,"no data","Mapk3","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Rac16","Rac1",20,"no data","Rac1","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Ctnnb110","Ctnnb1",8,"no data","Ctnnb1","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Notch13","Notch1",2,"no data","Notch1","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Cxcl12","Cxcl12",3,"int","Cxcl12","Cxcl12","vis_net_I","square","Exercise2","Artery","Endoth"
"Gnb1","Gnb1",4,"no data","Gnb1","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Rras","Rras",6,"no data","Rras","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Afdn","Afdn",2,"no data","Afdn","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"H2-K1","H2-K1",2,"no data","H2-K1","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"H2-D1","H2-D1",2,"no data","H2-D1","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"H2-Q4","H2-Q4",1,"no data","H2-Q4","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"H2-T23","H2-T23",1,"no data","H2-T23","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"B2m","B2m",2,"no data","B2m","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"NICHE20","NICHE",9,"no data","NICHE","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Zbtb2016","Zbtb20",1,"downregulated","Zbtb20","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Zbtb7b","Zbtb7b",2,"downregulated","Zbtb7b","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Tsc22d27","Tsc22d2",1,"downregulated","Tsc22d2","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Trps110","Trps1",1,"downregulated","Trps1","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Hmgb1","Hmgb1",1,"upregulated","Hmgb1","Cxcl12","vis_net_I","circle","Exercise2","Artery","Endoth"
"Jun11","Jun",6,"no data","Jun","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Ets111","Ets1",1,"no data","Ets1","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Tcf411","Tcf4",1,"no data","Tcf4","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Jund11","Jund",1,"no data","Jund","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Mapk311","Mapk3",14,"no data","Mapk3","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Ctnnb111","Ctnnb1",8,"no data","Ctnnb1","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Notch111","Notch1",2,"no data","Notch1","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Gnai2","Gnai2",4,"int","Gnai2","Gnai2","vis_net_I","square","Exercise2","Artery","Endoth"
"H2-K11","H2-K1",2,"no data","H2-K1","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"H2-D11","H2-D1",2,"no data","H2-D1","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"H2-Q41","H2-Q4",1,"no data","H2-Q4","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"H2-T231","H2-T23",1,"no data","H2-T23","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"B2m1","B2m",2,"no data","B2m","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"NICHE110","NICHE",9,"no data","NICHE","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Zbtb2017","Zbtb20",1,"downregulated","Zbtb20","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Zbtb7b1","Zbtb7b",2,"downregulated","Zbtb7b","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Tsc22d211","Tsc22d2",1,"downregulated","Tsc22d2","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Trps111","Trps1",1,"downregulated","Trps1","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Hmgb11","Hmgb1",1,"upregulated","Hmgb1","Gnai2","vis_net_I","circle","Exercise2","Artery","Endoth"
"Jun10","Jun",4,"no data","Jun","Rock1","vis_net_I","circle","Exercise2","Artery","Fib"
"Nr3c111","Nr3c1",2,"no data","Nr3c1","Rock1","vis_net_I","circle","Exercise2","Artery","Fib"
"Rhoa7","Rhoa",9,"no data","Rhoa","Rock1","vis_net_I","circle","Exercise2","Artery","Fib"
"Hsp90aa1","Hsp90aa1",6,"no data","Hsp90aa1","Rock1","vis_net_I","circle","Exercise2","Artery","Fib"
"Rock1","Rock1",3,"int","Rock1","Rock1","vis_net_I","square","Exercise2","Artery","Fib"
"Sdc2","Sdc2",4,"no data","Sdc2","Rock1","vis_net_I","circle","Exercise2","Artery","Fib"
"NICHE22","NICHE",3,"no data","NICHE","Rock1","vis_net_I","circle","Exercise2","Artery","Fib"
"Zbtb2018","Zbtb20",1,"downregulated","Zbtb20","Rock1","vis_net_I","circle","Exercise2","Artery","Fib"
"Nr4a3","Nr4a3",1,"downregulated","Nr4a3","Rock1","vis_net_I","circle","Exercise2","Artery","Fib"
"Jun12","Jun",4,"no data","Jun","Rock2","vis_net_I","circle","Exercise2","Artery","Fib"
"Nr3c112","Nr3c1",2,"no data","Nr3c1","Rock2","vis_net_I","circle","Exercise2","Artery","Fib"
"Rhoa11","Rhoa",9,"no data","Rhoa","Rock2","vis_net_I","circle","Exercise2","Artery","Fib"
"Hsp90aa11","Hsp90aa1",6,"no data","Hsp90aa1","Rock2","vis_net_I","circle","Exercise2","Artery","Fib"
"Rock2","Rock2",2,"int","Rock2","Rock2","vis_net_I","square","Exercise2","Artery","Fib"
"Sdc21","Sdc2",4,"no data","Sdc2","Rock2","vis_net_I","circle","Exercise2","Artery","Fib"
"NICHE111","NICHE",3,"no data","NICHE","Rock2","vis_net_I","circle","Exercise2","Artery","Fib"
"Zbtb2019","Zbtb20",1,"downregulated","Zbtb20","Rock2","vis_net_I","circle","Exercise2","Artery","Fib"
"Nr4a31","Nr4a3",1,"downregulated","Nr4a3","Rock2","vis_net_I","circle","Exercise2","Artery","Fib"
"Jun21","Jun",4,"no data","Jun","Tgfbr2","vis_net_I","circle","Exercise2","Artery","Fib"
"Nr3c121","Nr3c1",2,"no data","Nr3c1","Tgfbr2","vis_net_I","circle","Exercise2","Artery","Fib"
"Rhoa2","Rhoa",9,"no data","Rhoa","Tgfbr2","vis_net_I","circle","Exercise2","Artery","Fib"
"Hsp90aa12","Hsp90aa1",6,"no data","Hsp90aa1","Tgfbr2","vis_net_I","circle","Exercise2","Artery","Fib"
"Tgfbr2","Tgfbr2",3,"int","Tgfbr2","Tgfbr2","vis_net_I","square","Exercise2","Artery","Fib"
"Sdc22","Sdc2",4,"no data","Sdc2","Tgfbr2","vis_net_I","circle","Exercise2","Artery","Fib"
"NICHE23","NICHE",3,"no data","NICHE","Tgfbr2","vis_net_I","circle","Exercise2","Artery","Fib"
"Zbtb2021","Zbtb20",1,"downregulated","Zbtb20","Tgfbr2","vis_net_I","circle","Exercise2","Artery","Fib"
"Nr4a32","Nr4a3",1,"downregulated","Nr4a3","Tgfbr2","vis_net_I","circle","Exercise2","Artery","Fib"
"Jun31","Jun",4,"no data","Jun","Fn1","vis_net_I","circle","Exercise2","Artery","Fib"
"Nr3c13","Nr3c1",2,"no data","Nr3c1","Fn1","vis_net_I","circle","Exercise2","Artery","Fib"
"Hsp90aa13","Hsp90aa1",6,"no data","Hsp90aa1","Fn1","vis_net_I","circle","Exercise2","Artery","Fib"
