from,to,Effect,weight,color,origin,direction,study,tissue,cell
Cblb,Erbb4,1,0.993109815,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Plcb1,Mapk14,1,0.992902455,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Mapk14,Rora,1,0.98283146,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Mapk14,Nr3c1,1,0.98283146,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Gsk3b,Clock,1,0.988614566,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Gsk3b,Nr3c1,1,0.988614566,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Mtor,Rora,1,0.996328441,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Cblb,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Plcb1,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Cbl,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Pik3r1,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Pik3cb,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Cbl,Erbb4,1,0.984087916,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Erbb4,Esr1,1,0.985259728,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Pik3r1,Gsk3b,-1,0.955167132,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
Pik3r1,Mtor,1,0.955167132,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Pik3cb,Gsk3b,-1,0.989383676,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
NICHE,Insr,1,0.972233222,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Esr1,Zbtb20,-1,0.998250202,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
Nr3c1,Jazf1,1,0.995627982,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Rora,Nr1d2,-1,0.995248388,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
Clock,Nr1d2,-1,0.999098244,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
Nfkb1,Lyn,1,0.979796027,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Lyn,Stat5b,1,0.989845844,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mef2a,1,0.883613113,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nfkb1,1,0.883613113,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mitf,1,0.883613113,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nr3c1,1,0.883613113,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
App,Mapk14,1,0.960401301,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
NICHE,App,1,0.948032577,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mef2a,Hivep2,1,0.986730064,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Bnc2,1,0.982657264,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Zhx3,1,0.982657264,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Stat5b,Zfp395,1,0.999185029,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Nr3c1,Bnc2,1,0.979231695,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Nfkb1,Lyn,1,0.979796027,green,App,vis_net_A,Exercise2,Aorta,Mcr
Lyn,Stat5b,1,0.989845844,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mef2a,1,0.883613113,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mitf,1,0.883613113,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nr3c1,1,0.883613113,green,App,vis_net_A,Exercise2,Aorta,Mcr
App,Nfkb1,1,0.960401301,green,App,vis_net_A,Exercise2,Aorta,Mcr
App,Mapk14,1,0.960401301,green,App,vis_net_A,Exercise2,Aorta,Mcr
NICHE,App,1,0.948032577,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mef2a,Hivep2,1,0.986730064,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Bnc2,1,0.982657264,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Zhx3,1,0.982657264,green,App,vis_net_A,Exercise2,Aorta,Mcr
Stat5b,Zfp395,1,0.999185029,green,App,vis_net_A,Exercise2,Aorta,Mcr
Nr3c1,Bnc2,1,0.979231695,green,App,vis_net_A,Exercise2,Aorta,Mcr
Nfkb1,Lyn,1,0.979796027,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Lyn,Stat5b,1,0.989845844,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mef2a,1,0.883613113,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nfkb1,1,0.883613113,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mitf,1,0.883613113,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nr3c1,1,0.883613113,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Gng2,Mapk14,1,0.962225703,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Lrp6,Gng2,1,0.983694023,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
NICHE,Lrp6,1,0.948032577,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mef2a,Hivep2,1,0.986730064,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Bnc2,1,0.982657264,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Zhx3,1,0.982657264,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Stat5b,Zfp395,1,0.999185029,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Nr3c1,Bnc2,1,0.979231695,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Runx1,Ptprc,1,0.99620756,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ptprc,Jak1,1,0.989386949,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Grb2,Prkcq,1,0.948928081,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Grb2,Prkch,1,0.948928081,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ptk2b,Gsk3b,1,0.92828001,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Prkcq,Ptk2b,1,0.913328344,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Prkch,Ptk2b,1,0.987322056,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Gsk3b,Ccnd3,-1,0.9917736,red,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Kmt2a,Runx1,1,0.992594413,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ncoa2,Kmt2a,1,0.98773359,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ccnd3,Ncoa2,-1,0.989951617,red,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Jak1,Ets1,1,0.986163766,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
NICHE,Grb2,1,0.931549736,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ets1,Tshz3,1,0.998009476,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Runx1,Ptprc,1,0.99620756,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ptprc,Jak1,1,0.989386949,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ptk2b,Gsk3b,1,0.92828001,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Gsk3b,Ccnd3,-1,0.9917736,red,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Kmt2a,Runx1,1,0.992594413,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ncoa2,Kmt2a,1,0.98773359,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ccnd3,Ncoa2,-1,0.989951617,red,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Jak1,Ets1,1,0.986163766,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
NICHE,Ptk2b,1,0.931549736,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ets1,Tshz3,1,0.998009476,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Jun,Ctnnb1,1,0.999466766,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Mapk3,Jun,1,0.997804467,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Mapk3,Jund,1,0.997804467,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Mapk3,Notch1,1,0.997804467,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Ptprj,Mapk3,-1,0.999486407,red,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Ctnnb1,Tcf4,1,0.999754141,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Notch1,Ctnnb1,1,0.999805948,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Cdh5,Ptprj,1,0.999583562,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
NICHE,Cdh5,1,0.998111448,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Jun,Zbtb20,-1,0.999466766,red,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Tcf4,Trps1,-1,0.9999924,red,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Jund,Tsc22d2,-1,0.999739415,red,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Jun,Ctnnb1,1,0.999466766,green,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Mapk3,Jun,1,0.997804467,green,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Mapk3,Jund,1,0.997804467,green,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Mapk3,Notch1,1,0.997804467,green,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Ptprj,Mapk3,-1,0.999486407,red,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Ctnnb1,Tcf4,1,0.999754141,green,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Notch1,Ctnnb1,1,0.999805948,green,Ptprj,vis_net_A,Exercise2,Artery,Adipo
NICHE,Ptprj,1,0.998111448,green,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Jun,Zbtb20,-1,0.999466766,red,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Tcf4,Trps1,-1,0.9999924,red,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Jund,Tsc22d2,-1,0.999739415,red,Ptprj,vis_net_A,Exercise2,Artery,Adipo
Mapk3,Jun,1,0.997804467,green,Ptprb,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Jund,1,0.997804467,green,Ptprb,vis_net_I,Exercise2,Artery,Adipo
Ctnnb1,Jun,1,0.999754141,green,Ptprb,vis_net_I,Exercise2,Artery,Adipo
Ctnnb1,Tcf4,1,0.999754141,green,Ptprb,vis_net_I,Exercise2,Artery,Adipo
Ptprb,Mapk3,1,0.999773749,green,Ptprb,vis_net_I,Exercise2,Artery,Adipo
Ptprb,Ctnnb1,1,0.999773749,green,Ptprb,vis_net_I,Exercise2,Artery,Adipo
NICHE,Ptprb,1,0.998111448,green,Ptprb,vis_net_I,Exercise2,Artery,Adipo
Jun,Zbtb20,-1,0.999466766,red,Ptprb,vis_net_I,Exercise2,Artery,Adipo
Tcf4,Trps1,-1,0.9999924,red,Ptprb,vis_net_I,Exercise2,Artery,Adipo
Jund,Tsc22d2,-1,0.999739415,red,Ptprb,vis_net_I,Exercise2,Artery,Adipo
Stat3,Ctnnb1,1,0.999781804,green,Fn1,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Jun,1,0.997804467,green,Fn1,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Jund,1,0.997804467,green,Fn1,vis_net_I,Exercise2,Artery,Adipo
Rac1,Stat3,1,0.993662759,green,Fn1,vis_net_I,Exercise2,Artery,Adipo
Rac1,Mapk3,1,0.993662759,green,Fn1,vis_net_I,Exercise2,Artery,Adipo
Ctnnb1,Tcf4,1,0.999754141,green,Fn1,vis_net_I,Exercise2,Artery,Adipo
Fn1,Rac1,1,0.999276728,green,Fn1,vis_net_I,Exercise2,Artery,Adipo
NICHE,Fn1,1,0.998111448,green,Fn1,vis_net_I,Exercise2,Artery,Adipo
Jun,Zbtb20,-1,0.999466766,red,Fn1,vis_net_I,Exercise2,Artery,Adipo
Tcf4,Trps1,-1,0.9999924,red,Fn1,vis_net_I,Exercise2,Artery,Adipo
Jund,Tsc22d2,-1,0.999739415,red,Fn1,vis_net_I,Exercise2,Artery,Adipo
Stat3,Ctnnb1,1,0.999781804,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Rhoa,Mapk3,1,0.997087567,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Jun,1,0.997804467,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Jund,1,0.997804467,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Rac1,Stat3,1,0.993662759,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Rac1,Mapk3,1,0.993662759,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Ctnnb1,Tcf4,1,0.999754141,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Itgb1,Rhoa,1,0.995468023,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Itgb1,Rac1,1,0.995468023,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Vwf,Itgb1,1,0.999724693,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
NICHE,Vwf,1,0.998111448,green,Vwf,vis_net_I,Exercise2,Artery,Adipo
Jun,Zbtb20,-1,0.999466766,red,Vwf,vis_net_I,Exercise2,Artery,Adipo
Tcf4,Trps1,-1,0.9999924,red,Vwf,vis_net_I,Exercise2,Artery,Adipo
Jund,Tsc22d2,-1,0.999739415,red,Vwf,vis_net_I,Exercise2,Artery,Adipo
Jun,Ctnnb1,1,0.999466766,green,App,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Jun,1,0.997804467,green,App,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Jund,1,0.997804467,green,App,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Notch1,1,0.997804467,green,App,vis_net_I,Exercise2,Artery,Adipo
Ctnnb1,Tcf4,1,0.999754141,green,App,vis_net_I,Exercise2,Artery,Adipo
Notch1,Ctnnb1,1,0.999805948,green,App,vis_net_I,Exercise2,Artery,Adipo
App,Mapk3,1,0.999783902,green,App,vis_net_I,Exercise2,Artery,Adipo
NICHE,App,1,0.998111448,green,App,vis_net_I,Exercise2,Artery,Adipo
Jun,Zbtb20,-1,0.999466766,red,App,vis_net_I,Exercise2,Artery,Adipo
Tcf4,Trps1,-1,0.9999924,red,App,vis_net_I,Exercise2,Artery,Adipo
Jund,Tsc22d2,-1,0.999739415,red,App,vis_net_I,Exercise2,Artery,Adipo
Stat3,Ctnnb1,1,0.999781804,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Rhoa,Mapk3,1,0.997087567,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Jun,1,0.997804467,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Mapk3,Jund,1,0.997804467,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Rac1,Stat3,1,0.993662759,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Rac1,Mapk3,1,0.993662759,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Ctnnb1,Tcf4,1,0.999754141,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Itgb1,Rhoa,1,0.995468023,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Itgb1,Rac1,1,0.995468023,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
NICHE,Itgb1,1,0.998111448,green,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Jun,Zbtb20,-1,0.999466766,red,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Tcf4,Trps1,-1,0.9999924,red,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Jund,Tsc22d2,-1,0.999739415,red,Itgb1,vis_net_I,Exercise2,Artery,Adipo
Ets1,H2-K1,1,0.99996585,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Ets1,H2-D1,1,0.99996585,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Ets1,H2-Q4,1,0.99996585,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Ets1,H2-T23,1,0.99996585,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Ets1,B2m,1,0.99996585,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Mapk3,Ets1,1,0.999580199,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Mapk3,Jund,1,0.999580199,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Mapk3,Notch1,1,0.999580199,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Rac1,Mapk3,1,0.998813553,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Rac1,Rras,1,0.998813553,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Ctnnb1,Jun,1,0.999801017,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Ctnnb1,Tcf4,1,0.999801017,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Notch1,Ctnnb1,1,0.999950482,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Cxcl12,Rac1,1,0.999840327,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Cxcl12,Gnb1,1,0.999840327,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Gnb1,Mapk3,1,0.999801012,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Gnb1,Rras,1,0.999801012,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Rras,Afdn,1,0.99984171,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Afdn,Ctnnb1,1,0.999952248,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
H2-K1,Jun,1,0.99992648,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
H2-D1,Jun,1,0.99991471,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
H2-Q4,Jun,1,0.999999178,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
H2-T23,Jun,1,0.999999077,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
B2m,Jun,1,0.999915716,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
NICHE,Cxcl12,1,0.998641776,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Jun,Zbtb20,-1,0.999888989,red,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Tcf4,Trps1,-1,0.999968953,red,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Jund,Zbtb7b,-1,0.999968395,red,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Jund,Tsc22d2,-1,0.999968395,red,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Jun,Hmgb1,1,0.999888989,green,Cxcl12,vis_net_I,Exercise2,Artery,Endoth
Ets1,H2-K1,1,0.99996585,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Ets1,H2-D1,1,0.99996585,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Ets1,H2-Q4,1,0.99996585,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Ets1,H2-T23,1,0.99996585,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Ets1,B2m,1,0.99996585,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Mapk3,Ets1,1,0.999580199,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Mapk3,Jund,1,0.999580199,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Mapk3,Notch1,1,0.999580199,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Ctnnb1,Jun,1,0.999801017,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Ctnnb1,Tcf4,1,0.999801017,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Notch1,Ctnnb1,1,0.999950482,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Gnai2,Mapk3,1,0.999905849,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
H2-K1,Jun,1,0.99992648,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
H2-D1,Jun,1,0.99991471,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
H2-Q4,Jun,1,0.999999178,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
H2-T23,Jun,1,0.999999077,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
B2m,Jun,1,0.999915716,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
NICHE,Gnai2,1,0.998641776,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Jun,Zbtb20,-1,0.999888989,red,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Tcf4,Trps1,-1,0.999968953,red,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Jund,Zbtb7b,-1,0.999968395,red,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Jund,Tsc22d2,-1,0.999968395,red,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Jun,Hmgb1,1,0.999888989,green,Gnai2,vis_net_I,Exercise2,Artery,Endoth
Rhoa,Sdc2,1,0.838816298,green,Rock1,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Nr3c1,-1,0.956812406,red,Rock1,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Rhoa,1,0.956812406,green,Rock1,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Rock1,1,0.956812406,green,Rock1,vis_net_I,Exercise2,Artery,Fib
Rock1,Hsp90aa1,1,0.981270612,green,Rock1,vis_net_I,Exercise2,Artery,Fib
Sdc2,Jun,1,0.982480467,green,Rock1,vis_net_I,Exercise2,Artery,Fib
NICHE,Hsp90aa1,1,0.992015808,green,Rock1,vis_net_I,Exercise2,Artery,Fib
Jun,Zbtb20,-1,0.993998844,red,Rock1,vis_net_I,Exercise2,Artery,Fib
Nr3c1,Nr4a3,1,0.995834949,green,Rock1,vis_net_I,Exercise2,Artery,Fib
Rhoa,Sdc2,1,0.838816298,green,Rock2,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Nr3c1,-1,0.956812406,red,Rock2,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Rhoa,1,0.956812406,green,Rock2,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Rock2,1,0.956812406,green,Rock2,vis_net_I,Exercise2,Artery,Fib
Rock2,Hsp90aa1,1,0.970417487,green,Rock2,vis_net_I,Exercise2,Artery,Fib
Sdc2,Jun,1,0.982480467,green,Rock2,vis_net_I,Exercise2,Artery,Fib
NICHE,Hsp90aa1,1,0.992015808,green,Rock2,vis_net_I,Exercise2,Artery,Fib
Jun,Zbtb20,-1,0.993998844,red,Rock2,vis_net_I,Exercise2,Artery,Fib
Nr3c1,Nr4a3,1,0.995834949,green,Rock2,vis_net_I,Exercise2,Artery,Fib
Rhoa,Hsp90aa1,1,0.838816298,green,Tgfbr2,vis_net_I,Exercise2,Artery,Fib
Rhoa,Sdc2,1,0.838816298,green,Tgfbr2,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Nr3c1,-1,0.956812406,red,Tgfbr2,vis_net_I,Exercise2,Artery,Fib
Tgfbr2,Rhoa,1,0.994535365,green,Tgfbr2,vis_net_I,Exercise2,Artery,Fib
Sdc2,Jun,1,0.982480467,green,Tgfbr2,vis_net_I,Exercise2,Artery,Fib
NICHE,Tgfbr2,1,0.992015808,green,Tgfbr2,vis_net_I,Exercise2,Artery,Fib
Jun,Zbtb20,-1,0.993998844,red,Tgfbr2,vis_net_I,Exercise2,Artery,Fib
Nr3c1,Nr4a3,1,0.995834949,green,Tgfbr2,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Nr3c1,-1,0.956812406,red,Fn1,vis_net_I,Exercise2,Artery,Fib
Fn1,Sdc2,1,0.986377253,green,Fn1,vis_net_I,Exercise2,Artery,Fib
Sdc2,Jun,1,0.982480467,green,Fn1,vis_net_I,Exercise2,Artery,Fib
Sdc2,Hsp90aa1,1,0.982480467,green,Fn1,vis_net_I,Exercise2,Artery,Fib
NICHE,Fn1,1,0.992015808,green,Fn1,vis_net_I,Exercise2,Artery,Fib
Jun,Zbtb20,-1,0.993998844,red,Fn1,vis_net_I,Exercise2,Artery,Fib
Nr3c1,Nr4a3,1,0.995834949,green,Fn1,vis_net_I,Exercise2,Artery,Fib
Rhoa,Hsp90aa1,1,0.838816298,green,Gnas,vis_net_I,Exercise2,Artery,Fib
Rhoa,Sdc2,1,0.838816298,green,Gnas,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Nr3c1,-1,0.956812406,red,Gnas,vis_net_I,Exercise2,Artery,Fib
Pik3r1,Rhoa,1,0.933309665,green,Gnas,vis_net_I,Exercise2,Artery,Fib
Sdc2,Jun,1,0.982480467,green,Gnas,vis_net_I,Exercise2,Artery,Fib
Gnas,Pik3r1,1,0.981604577,green,Gnas,vis_net_I,Exercise2,Artery,Fib
NICHE,Gnas,1,0.992015808,green,Gnas,vis_net_I,Exercise2,Artery,Fib
Jun,Zbtb20,-1,0.993998844,red,Gnas,vis_net_I,Exercise2,Artery,Fib
Nr3c1,Nr4a3,1,0.995834949,green,Gnas,vis_net_I,Exercise2,Artery,Fib
Rhoa,Sdc2,1,0.838816298,green,Hsp90aa1,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Nr3c1,-1,0.956812406,red,Hsp90aa1,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Rhoa,1,0.956812406,green,Hsp90aa1,vis_net_I,Exercise2,Artery,Fib
Sdc2,Jun,1,0.982480467,green,Hsp90aa1,vis_net_I,Exercise2,Artery,Fib
NICHE,Hsp90aa1,1,0.992015808,green,Hsp90aa1,vis_net_I,Exercise2,Artery,Fib
Jun,Zbtb20,-1,0.993998844,red,Hsp90aa1,vis_net_I,Exercise2,Artery,Fib
Nr3c1,Nr4a3,1,0.995834949,green,Hsp90aa1,vis_net_I,Exercise2,Artery,Fib
Rhoa,Hsp90aa1,1,0.838816298,green,Il6st,vis_net_I,Exercise2,Artery,Fib
Rhoa,Sdc2,1,0.838816298,green,Il6st,vis_net_I,Exercise2,Artery,Fib
Hsp90aa1,Nr3c1,-1,0.956812406,red,Il6st,vis_net_I,Exercise2,Artery,Fib
Il6st,Pik3r1,1,0.987159694,green,Il6st,vis_net_I,Exercise2,Artery,Fib
Il6st,Jak1,1,0.987159694,green,Il6st,vis_net_I,Exercise2,Artery,Fib
Pik3r1,Rhoa,1,0.933309665,green,Il6st,vis_net_I,Exercise2,Artery,Fib
Sdc2,Jun,1,0.982480467,green,Il6st,vis_net_I,Exercise2,Artery,Fib
Jak1,Rhoa,1,0.976178736,green,Il6st,vis_net_I,Exercise2,Artery,Fib
NICHE,Il6st,1,0.992015808,green,Il6st,vis_net_I,Exercise2,Artery,Fib
Jun,Zbtb20,-1,0.993998844,red,Il6st,vis_net_I,Exercise2,Artery,Fib
Nr3c1,Nr4a3,1,0.995834949,green,Il6st,vis_net_I,Exercise2,Artery,Fib
Rhoa,Hsp90aa1,1,0.838816298,green,Itgb1,vis_net_I,Exercise2,Artery,Fib
